,angle,distance,time
1765,221.796875,0.76625,2.6930432319641113
1766,254.65625,0.1875,2.6930437088012695
1767,255.734375,0.19125,2.693044424057007
1768,256.8125,0.18625,2.693044900894165
1769,257.875,0.184,2.6930458545684814
1770,258.953125,0.18275,2.6930463314056396
1771,260.03125,0.18325,2.693047046661377
1772,261.109375,0.18075,2.6930477619171143
1773,262.1875,0.18275,2.6930482387542725
1774,263.265625,0.18225,2.6930489540100098
1775,264.34375,0.17625,2.693049669265747
1776,266.5,0.17925,2.6930503845214844
1777,267.578125,0.179,2.6930510997772217
1778,268.65625,0.178,2.693051815032959
1779,269.71875,0.17725,2.693052291870117
1780,270.796875,0.17725,2.6930534839630127
1781,271.890625,0.1765,2.69305419921875
1782,272.96875,0.17625,2.693054437637329
1783,274.046875,0.17575,2.6930549144744873
1784,275.109375,0.17625,2.6930553913116455
1785,276.1875,0.17575,2.6930556297302246
1786,277.265625,0.176,2.693056583404541
1787,278.34375,0.176,2.693057060241699
1788,279.421875,0.1755,2.6930737495422363
1789,280.5,0.176,2.6930789947509766
1790,281.578125,0.17575,2.6930794715881348
1791,282.484375,0.176,2.693079948425293
1792,283.546875,0.1765,2.6930809020996094
1793,284.625,0.177,2.6930816173553467
1794,285.6875,0.1775,2.693082094192505
1795,286.765625,0.17825,2.693082571029663
1796,287.828125,0.1785,2.693082809448242
1797,288.890625,0.179,2.6930832862854004
1798,289.96875,0.17925,2.693084239959717
1799,291.03125,0.18075,2.693084716796875
1800,292.109375,0.1815,2.693085193634033
1801,293.171875,0.18225,2.6930854320526123
1802,294.25,0.183,2.6930861473083496
1803,295.3125,0.18375,2.693086624145508
1804,296.390625,0.18525,2.693087100982666
1805,297.453125,0.18575,2.6930878162384033
1806,298.515625,0.18375,2.6930882930755615
1807,299.59375,0.18775,2.6930887699127197
1808,300.65625,0.189,2.693089485168457
1809,301.71875,0.1875,2.6930899620056152
1810,302.796875,0.1935,2.6930904388427734
1811,303.859375,0.194,2.6930911540985107
1812,304.921875,0.19375,2.693091630935669
1813,310.46875,0.2015,2.693091869354248
1814,325.609375,4.432,2.6930923461914062
1815,326.6875,4.3415,2.6930928230285645
1816,328.640625,1.17925,2.6930932998657227
1817,329.859375,1.1065,2.693093776702881
1818,336.390625,1.0065,2.69309401512146
1819,337.484375,0.99375,2.6930947303771973
1820,338.625,0.981,2.6930952072143555
1821,339.703125,0.97575,2.6930956840515137
1822,340.75,0.9625,2.6930959224700928
1823,341.78125,0.95775,2.693096399307251
1824,342.859375,0.953,2.693096876144409
1825,343.96875,0.94175,2.6930973529815674
1826,345.109375,0.93675,2.6930975914001465
1827,346.125,0.9315,2.693098306655884
1828,347.265625,0.92575,2.693098783493042
1829,348.296875,0.95325,2.6930992603302
1830,349.25,1.00575,2.6930997371673584
1831,350.296875,1.09,2.6930999755859375
1832,351.59375,0.93675,2.6931004524230957
1833,5.390625,0.57575,2.844351291656494
1834,6.59375,0.57525,2.8443524837493896
1835,7.703125,0.57375,2.844353199005127
1836,8.71875,0.57325,2.8443539142608643
1837,9.734375,0.573,2.8443548679351807
1838,10.84375,0.57325,2.844355583190918
1839,11.984375,0.57375,2.8443562984466553
1840,13.046875,0.5745,2.8443570137023926
1841,14.09375,0.5745,2.844358205795288
1842,15.125,0.57625,2.8443586826324463
1843,16.25,0.57675,2.8443596363067627
1844,17.1875,0.578,2.8443603515625
1845,18.390625,0.57925,2.8443613052368164
1846,19.421875,0.58175,2.8443615436553955
1847,20.375,0.584,2.844362258911133
1848,21.40625,0.58475,2.844363212585449
1849,22.625,0.5885,2.8443639278411865
1850,23.625,0.5915,2.844364881515503
1851,47.546875,0.9005,2.8443658351898193
1852,48.59375,0.8725,2.8443665504455566
1853,49.734375,0.868,2.844367027282715
1854,50.734375,0.869,2.844367742538452
1855,51.875,0.8745,2.8443686962127686
1856,64.0,1.72325,2.8443691730499268
1857,65.09375,1.7005,2.844369649887085
1858,66.21875,1.65825,2.844370126724243
1859,67.28125,1.63025,2.8443708419799805
1860,68.421875,1.6115,2.8443713188171387
1861,69.5,1.605,2.844372034072876
1862,70.484375,1.654,2.8443727493286133
1863,71.578125,1.7025,2.8443732261657715
