timestamp_us,ax,ay,az,gx,gy,gz
1777323591.8752327,-0.19,-0.34,9.69,-0.19,-0.34,9.69
1777323591.8882394,-0.19,-0.19,9.69,-0.19,-0.19,9.69
1777323591.9012341,-0.08,-0.3,9.69,-0.08,-0.3,9.69
1777323591.9162385,-0.04,-0.19,9.65,-0.04,-0.19,9.65
1777323591.9302351,-0.08,-0.27,9.69,-0.08,-0.27,9.69
1777323591.9442387,-0.11,-0.38,9.73,-0.11,-0.38,9.73
1777323591.9570122,-0.08,-0.27,9.69,-0.08,-0.27,9.69
1777323591.9712443,0.0,-0.3,9.73,0.0,-0.3,9.73
1777323591.9852426,-0.08,-0.19,9.69,-0.08,-0.19,9.69
1777323591.9982412,-0.08,-0.38,9.69,-0.08,-0.38,9.69
1777323592.0112386,-0.08,-0.23,9.73,-0.08,-0.23,9.73
1777323592.0262377,-0.15,-0.27,9.69,-0.15,-0.27,9.69
1777323592.0402484,-0.04,-0.38,9.69,-0.04,-0.38,9.69
1777323592.0542362,-0.04,-0.11,9.65,-0.04,-0.11,9.65
1777323592.0669942,-0.11,-0.34,9.69,-0.11,-0.34,9.69
1777323592.0812445,-0.04,-0.27,9.65,-0.04,-0.27,9.65
1777323592.0952425,-0.04,-0.3,9.73,-0.04,-0.3,9.73
1777323592.1092432,-0.08,-0.3,9.73,-0.08,-0.3,9.73
1777323592.122241,-0.11,-0.38,9.69,-0.11,-0.38,9.69
1777323592.1362538,-0.11,-0.3,9.81,-0.11,-0.3,9.81
1777323592.1512444,-0.11,-0.27,9.65,-0.11,-0.27,9.65
1777323592.165268,-0.11,-0.34,9.61,-0.11,-0.34,9.61
1777323592.1782515,-0.08,-0.23,9.69,-0.08,-0.23,9.69
1777323592.1912513,-0.04,-0.34,9.69,-0.04,-0.34,9.69
1777323592.206255,-0.08,-0.27,9.65,-0.08,-0.27,9.65
1777323592.2202635,-0.11,-0.3,9.69,-0.11,-0.3,9.69
1777323592.2332518,-0.11,-0.23,9.69,-0.11,-0.23,9.69
1777323592.2462342,0.0,-0.23,9.73,0.0,-0.23,9.73
1777323592.2612562,-0.11,-0.34,9.69,-0.11,-0.34,9.69
1777323592.2752576,-0.08,-0.23,9.65,-0.08,-0.23,9.65
1777323592.2892394,-0.23,-0.38,9.61,-0.23,-0.38,9.61
1777323592.3020113,-0.11,-0.19,9.69,-0.11,-0.19,9.69
1777323592.316258,-0.04,-0.3,9.69,-0.04,-0.3,9.69
1777323592.3302543,-0.04,-0.23,9.69,-0.04,-0.23,9.69
1777323592.3442261,-0.08,-0.27,9.69,-0.08,-0.27,9.69
1777323592.356965,-0.04,-0.23,9.69,-0.04,-0.23,9.69
1777323592.3712544,-0.08,-0.27,9.69,-0.08,-0.27,9.69
1777323592.3852527,-0.04,-0.27,9.73,-0.04,-0.27,9.73
1777323592.5691314,-0.04,-0.27,9.69,-0.04,-0.27,9.69
1777323592.8948631,-0.08,-0.34,9.73,-0.08,-0.34,9.73
1777323593.2103882,-0.08,-0.27,9.65,-0.08,-0.27,9.65
1777323593.5057788,-0.11,-0.23,9.69,-0.11,-0.23,9.69
1777323593.8366055,-0.04,-0.34,9.73,-0.04,-0.34,9.73
1777323594.141686,-0.04,-0.34,9.73,-0.04,-0.34,9.73
1777323594.3952913,-0.08,-0.38,9.65,-0.08,-0.38,9.65
1777323594.6648827,-0.08,-0.23,9.69,-0.08,-0.23,9.69
1777323595.0170968,-0.11,-0.3,9.69,-0.11,-0.3,9.69
1777323595.227706,-0.08,-0.23,9.65,-0.08,-0.23,9.65
1777323595.3268304,-0.11,-0.34,9.69,-0.11,-0.34,9.69
1777323595.5503497,-0.11,-0.34,9.69,-0.11,-0.34,9.69
1777323595.6591697,-0.11,-0.3,9.65,-0.11,-0.3,9.65
1777323595.7629693,-0.15,-0.3,9.69,-0.15,-0.3,9.69
1777323595.8708248,-0.08,-0.23,9.69,-0.08,-0.23,9.69
1777323596.1831887,-0.04,-0.38,9.69,-0.04,-0.38,9.69
